title,author,year,image
Povestea lui Harap-Alb,Ion Creanga,1877,Povestea_lui_Harap-Alb.png
Moara cu noroc,Ioan Slavici,1881,Moara_cu_noroc.png
Luceafarul,Mihai Eminescu,1883,Luceafarul.png
O scrisoare pierduta,Ion Luca Caragiale,1884,O_scrisoare_pierduta.png
Amintiri din copilarie,Ion Creanga,1892,Amintiri_din_copilarie.png
Mara,Ioan Slavici,1894,Mara.png
Momente si schite,Ion Luca Caragiale,1901,Momente_si_schite.png
Plumb,George Bacovia,1916,Plumb.png
Ion,Liviu Rebreanu,1920,Ion.png
Padurea spanzuratilor,Liviu Rebreanu,1922,Padurea_spanzuratilor.png
Riga Crypto si lapona Enigel,Ion Barbu,1924,Riga_Crypto_si_lapona_Enigel.png
Dumbrava minunata,Mihail Sadoveanu,1926,Dumbrava_minunata.png
Hanul Ancutei,Mihail Sadoveanu,1928,Hanul_Ancutei.png
Baltagul,Mihail Sadoveanu,1930,Baltagul.png
Flori de mucigai,Tudor Arghezi,1931,Flori_de_mucigai.png
Rascoala,Liviu Rebreanu,1932,Rascoala.png
Patul lui Procust,Camil Petrescu,1933,Patul_lui_Procust.png
Maitreyi,Mircea Eliade,1933,Maitreyi.png
Fratii Jderi,Mihail Sadoveanu,1935,Fratii_Jderi.png
Enigma Otiliei,George Calinescu,1938,Enigma_Otiliei.png
Morometii,Marin Preda,1955,Morometii.png
Noaptea de Sanziene,Mircea Eliade,1955,Noaptea_de_Sanziene.png
La tiganci,Mircea Eliade,1959,La_tiganci.png
Scrinul negru,George Calinescu,1965,Scrinul_negru.png
